"","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"21",2004,-0.0354894769010706,0.312514814766728,0.234794710429317,-0.338909165786711,0.0312438532382919,-0.138579110617718,1.38276282369643,1.38374171378884,-0.843970070294529,-0.0793226742555881,1.3996988951094,0.41373924058031,0.519542913234454,-0.0318660072477901,0.948281985515576,0.137264896650184
"22",2005,-0.252117784116802,-0.391147678190972,-0.76186698811054,-0.791863153499103,-0.659159636202966,-1.17768535167051,0.106785558742412,0.258047639118457,-1.93102153656156,-0.941475128094968,0.0354913330548149,-0.265962473383037,0.112110411044648,-0.831344123020996,0.184749163326898,-1.05282937149095
"23",2006,-0.584056787446178,-1.37227096044344,-1.90466763905645,-1.48837972498256,-1.60942053539571,-2.3312814768765,-0.518136676454577,-0.524286461133281,-4.66648337080081,-1.50988363977284,-1.61176938736883,-1.73079360670084,-1.46266277214054,-3.50237903624501,-1.75345494657781,-5.29831736654804
"24",2007,-0.209289881032943,-0.197488629106674,-0.497545668608849,-0.487941329932403,-0.73776739444433,-1.09762642842982,0.0402334895237594,0.432506150004473,-0.549196123740306,-0.488100459494038,-0.35369648390963,-0.442844393405598,-0.351502434480164,-0.934871378819806,-0.31041019076641,-1.53600171976369
"25",2008,-0.0851739649491488,0.181691381571214,0.0235875383458561,-0.0609940082130083,-0.180537445832868,-0.597388112458797,0.808515807445616,1.15219697843807,-0.167614069180531,-0.329496622884788,0.262543945086957,0.087971061272858,0.219909411454689,-0.00544231122219285,0.348749854318112,-0.55552102308831
"26",2009,0.333109490827411,0.789496762799493,0.629953427310081,0.304280565111239,0.475480306315391,-0.189047669029506,2.0248330297783,1.77019894273066,-0.0124687167177831,0.545916430822354,1.10027756798717,0.513821132745789,1.04382220214634,-0.0134385176007475,1.03204568633743,0.280416732682888
"27",2010,-0.814969536892974,-0.583298360145273,-1.02323477913763,-0.869735205506139,-0.644111401435802,-1.22486343798484,-1.02143932956533,-1.10646806568465,-0.683196849706777,-1.91755619819071,-1.28284338005397,-0.912701598745594,-0.519624907925939,-0.703894380553146,-1.01635092111311,-0.908835315096801
"28",2011,-1.19831120578601,-1.86433016206289,-2.31617223610505,-1.94236298855483,-1.86983814564781,-2.76066182798285,-1.92043785769125,-1.79736179442126,-3.0770314780517,-3.36575693031203,-2.56104314828333,-2.55394814224981,-1.74188845903852,-3.95887842270965,-2.80952526906738,-3.43283402350015
"29",2012,-0.940729978219311,-0.968972351817895,-1.48275510769572,-1.34525049340509,-1.65188228704558,-2.19701525163196,-1.25822745781371,-0.743149212996226,-2.51984973260848,-2.45990808094699,-1.67106503289892,-1.784552576684,-0.973671657987116,-2.67307779442504,-1.06513146040475,-3.44942201234514
"30",2013,0.46544280588808,0.291425058730615,0.0173486383346126,0.203641737664773,-0.0653488607506127,-0.724805279214056,0.625331586997785,0.794978481730977,-1.35577581473643,-0.531534066594622,0.00292745848217884,-0.290097438463012,0.744315467134345,-0.601740714236094,0.175236934525642,-1.01635092111311
"31",2014,-1.37690936283342,-1.92760759298973,-1.36458986942389,-1.77793267190392,-1.51598274902698,-2.15494909418798,-2.17335855558278,-2.07769443488033,-2.97845126142681,-1.75217814825488,-2.56984484830088,-2.73433911865541,-2.60415627760649,-2.34435450587034,-1.90628561917723,-2.90495519308065
"32",2015,-0.259461296530457,-0.655646054526225,-0.694749391488896,-1.21114129380455,-0.951063147167391,-1.72108885128613,-1.32668661535311,-1.06458982926938,-2.05453268429952,-0.904812878124438,-0.727336349774891,-1.19220655019826,-0.818045236387526,-1.68562875844338,-1.3434173367635,-2.90495519308065
"33",2016,0.39473548208674,-0.628331799017576,-0.934121167288827,-0.630311057046345,-1.3337894608343,-1.29962190739505,-0.773467704598653,-0.607141786710015,-0.906902424929391,-0.631882390757272,-0.462857362387358,-0.241902848895984,-0.856025402255962,-1.03563748950672,-0.980482992620455,-1.65866356467313
"34",2017,-0.252608701785062,-1.1138650085368,-0.888885856605848,-1.29034642619191,-1.15700202537554,-1.70853533178227,-1.54005949900168,-2.74445403847239,-1.27746500850448,-1.15311007113342,-1.41933090665129,-1.16349328089357,-2.2177149781864,-2.04022082852655,-1.65866356467313,-1.90628561917723
"35",2018,1.47445091547688,0.44937622557549,1.16756303871604,-0.716197699501421,0.483870192816527,0.164986523052445,-0.346303623499545,-1.96475010694269,-1.19985905295753,0.323259167671997,-0.022530019553922,-0.559607046714886,-1.34033961578527,-3.39407991389329,-0.669151675003729,-0.743633905025488
"36",2019,-0.89217900805992,-2.69257647961522,-2.37690098696991,-4.55110296471782,-1.87671578342128,-2.51688728316673,-2.86730648496517,-3.29425536079263,-3.30568154633011,-4.08944985733414,-3.64420409311631,-3.16920421507096,-2.69035062400281,-3.02663981101707,-5.29831736654804,-5.29831736654804
"37",2020,-0.307605528161789,-1.62154798125061,-1.11662780742894,-1.99326384543878,-1.5308903335151,-2.26267663763147,-2.28051870165064,-1.4244135663522,-1.27746500850448,-0.525715635682895,-1.16703664604368,-2.20488542579234,-2.07559353308366,-4.640676874445,-0.445258077992355,-2.13320977510965
"38",2021,-0.0354894769010706,-1.0486687906398,0.159863048864675,-1.0053890423433,-0.616343088337268,-0.410869782061391,-0.443342055930725,0.250759510949325,0.286329116803583,0.680352697375432,0.0606514126501867,-0.774094052735583,-1.11217357959603,-2.4032108831935,-0.203146337211979,-1.20571255812913
"39",2022,-0.363060412565469,-1.21008246111668,-0.10014633896894,-0.476309181809012,-0.474585538750847,0.297134384697218,0.0447042690898371,0.794263436582801,0.579691657941138,1.70686705776565,0.428922014671995,-0.907471773000918,-1.17033444517711,-2.18309411499251,0.232447726506129,-0.690243598618429
"40",2023,-2.55454908284375,-4.31618416238011,-3.38865653947213,-2.7092973127336,-4.53050705920955,-3.26967616823309,-3.06613691822524,-2.92629972942666,-2.24008669497142,-3.28501412049649,-3.11748363522541,-3.52709249976169,-4.1433521413288,-3.02663981101707,-5.29831736654804,-5.29831736654804
"41",2024,-1.61278358392821,-2.19346875268606,-3.09251364812043,-2.15909577676136,-4.41310972973227,-3.10109278921182,-3.10871446612045,-2.31939221131043,-1.1781194254996,-2.07163138543782,-2.93199100448358,-2.82822580254518,-1.92343456655394,-2.23454505626237,-5.29831736654804,-4.62926773756715
